PRECINCT,CANDIDATE,PARTY,VOTES,PERCENTAGE
Election District 02-12,LISA BLUNT ROCHESTER,Democratic Party,90,75.63 %
Election District 02-12,LEE MURPHY,Republican Party,26,21.85 %
Election District 02-12,CODY MCNUTT,Libertarian Party,1,0.84 %
Election District 02-12,DAVID ROGERS,Non-Partisan Delaware,2,1.68 %
Election District 02-13,LISA BLUNT ROCHESTER,Democratic Party,41,87.23 %
Election District 02-13,LEE MURPHY,Republican Party,3,6.38 %
Election District 02-13,CODY MCNUTT,Libertarian Party,3,6.38 %
Election District 02-13,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-14,LISA BLUNT ROCHESTER,Democratic Party,34,77.27 %
Election District 02-14,LEE MURPHY,Republican Party,10,22.73 %
Election District 02-14,CODY MCNUTT,Libertarian Party,0,0 %
Election District 02-14,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-15,LISA BLUNT ROCHESTER,Democratic Party,39,82.98 %
Election District 02-15,LEE MURPHY,Republican Party,8,17.02 %
Election District 02-15,CODY MCNUTT,Libertarian Party,0,0 %
Election District 02-15,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-16,LISA BLUNT ROCHESTER,Democratic Party,321,91.98 %
Election District 02-16,LEE MURPHY,Republican Party,25,7.16 %
Election District 02-16,CODY MCNUTT,Libertarian Party,1,0.29 %
Election District 02-16,DAVID ROGERS,Non-Partisan Delaware,2,0.57 %
Election District 02-17,LISA BLUNT ROCHESTER,Democratic Party,184,93.88 %
Election District 02-17,LEE MURPHY,Republican Party,11,5.61 %
Election District 02-17,CODY MCNUTT,Libertarian Party,1,0.51 %
Election District 02-17,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-18,LISA BLUNT ROCHESTER,Democratic Party,38,90.48 %
Election District 02-18,LEE MURPHY,Republican Party,4,9.52 %
Election District 02-18,CODY MCNUTT,Libertarian Party,0,0 %
Election District 02-18,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-19,LISA BLUNT ROCHESTER,Democratic Party,5,83.33 %
Election District 02-19,LEE MURPHY,Republican Party,0,0 %
Election District 02-19,CODY MCNUTT,Libertarian Party,0,0 %
Election District 02-19,DAVID ROGERS,Non-Partisan Delaware,1,16.67 %
Election District 02-20,LISA BLUNT ROCHESTER,Democratic Party,9,100 %
Election District 02-20,LEE MURPHY,Republican Party,0,0 %
Election District 02-20,CODY MCNUTT,Libertarian Party,0,0 %
Election District 02-20,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-21,LISA BLUNT ROCHESTER,Democratic Party,3,100 %
Election District 02-21,LEE MURPHY,Republican Party,0,0 %
Election District 02-21,CODY MCNUTT,Libertarian Party,0,0 %
Election District 02-21,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-22,LISA BLUNT ROCHESTER,Democratic Party,0,0 %
Election District 02-22,LEE MURPHY,Republican Party,0,0 %
Election District 02-22,CODY MCNUTT,Libertarian Party,0,0 %
Election District 02-22,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-23,LISA BLUNT ROCHESTER,Democratic Party,0,0 %
Election District 02-23,LEE MURPHY,Republican Party,0,0 %
Election District 02-23,CODY MCNUTT,Libertarian Party,0,0 %
Election District 02-23,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 02-27,LISA BLUNT ROCHESTER,Democratic Party,201,89.73 %
Election District 02-27,LEE MURPHY,Republican Party,20,8.93 %
Election District 02-27,CODY MCNUTT,Libertarian Party,1,0.45 %
Election District 02-27,DAVID ROGERS,Non-Partisan Delaware,2,0.89 %
Election District 03-01,LISA BLUNT ROCHESTER,Democratic Party,227,93.42 %
Election District 03-01,LEE MURPHY,Republican Party,13,5.35 %
Election District 03-01,CODY MCNUTT,Libertarian Party,2,0.82 %
Election District 03-01,DAVID ROGERS,Non-Partisan Delaware,1,0.41 %
Election District 03-02,LISA BLUNT ROCHESTER,Democratic Party,491,77.44 %
Election District 03-02,LEE MURPHY,Republican Party,134,21.14 %
Election District 03-02,CODY MCNUTT,Libertarian Party,8,1.26 %
Election District 03-02,DAVID ROGERS,Non-Partisan Delaware,1,0.16 %
Election District 03-03,LISA BLUNT ROCHESTER,Democratic Party,303,81.89 %
Election District 03-03,LEE MURPHY,Republican Party,59,15.95 %
Election District 03-03,CODY MCNUTT,Libertarian Party,3,0.81 %
Election District 03-03,DAVID ROGERS,Non-Partisan Delaware,5,1.35 %
Election District 03-04,LISA BLUNT ROCHESTER,Democratic Party,314,95.73 %
Election District 03-04,LEE MURPHY,Republican Party,13,3.96 %
Election District 03-04,CODY MCNUTT,Libertarian Party,0,0 %
Election District 03-04,DAVID ROGERS,Non-Partisan Delaware,1,0.3 %
Election District 03-05,LISA BLUNT ROCHESTER,Democratic Party,334,87.89 %
Election District 03-05,LEE MURPHY,Republican Party,37,9.74 %
Election District 03-05,CODY MCNUTT,Libertarian Party,6,1.58 %
Election District 03-05,DAVID ROGERS,Non-Partisan Delaware,3,0.79 %
Election District 03-06,LISA BLUNT ROCHESTER,Democratic Party,82,90.11 %
Election District 03-06,LEE MURPHY,Republican Party,8,8.79 %
Election District 03-06,CODY MCNUTT,Libertarian Party,1,1.1 %
Election District 03-06,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 03-07,LISA BLUNT ROCHESTER,Democratic Party,299,86.42 %
Election District 03-07,LEE MURPHY,Republican Party,43,12.43 %
Election District 03-07,CODY MCNUTT,Libertarian Party,2,0.58 %
Election District 03-07,DAVID ROGERS,Non-Partisan Delaware,2,0.58 %
Election District 03-08,LISA BLUNT ROCHESTER,Democratic Party,345,74.19 %
Election District 03-08,LEE MURPHY,Republican Party,111,23.87 %
Election District 03-08,CODY MCNUTT,Libertarian Party,6,1.29 %
Election District 03-08,DAVID ROGERS,Non-Partisan Delaware,3,0.65 %
Election District 03-09,LISA BLUNT ROCHESTER,Democratic Party,344,88.66 %
Election District 03-09,LEE MURPHY,Republican Party,37,9.54 %
Election District 03-09,CODY MCNUTT,Libertarian Party,4,1.03 %
Election District 03-09,DAVID ROGERS,Non-Partisan Delaware,3,0.77 %
Election District 03-10,LISA BLUNT ROCHESTER,Democratic Party,126,73.26 %
Election District 03-10,LEE MURPHY,Republican Party,43,25 %
Election District 03-10,CODY MCNUTT,Libertarian Party,2,1.16 %
Election District 03-10,DAVID ROGERS,Non-Partisan Delaware,1,0.58 %
Election District 03-11,LISA BLUNT ROCHESTER,Democratic Party,111,84.73 %
Election District 03-11,LEE MURPHY,Republican Party,20,15.27 %
Election District 03-11,CODY MCNUTT,Libertarian Party,0,0 %
Election District 03-11,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 03-12,LISA BLUNT ROCHESTER,Democratic Party,31,70.45 %
Election District 03-12,LEE MURPHY,Republican Party,13,29.55 %
Election District 03-12,CODY MCNUTT,Libertarian Party,0,0 %
Election District 03-12,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 03-13,LISA BLUNT ROCHESTER,Democratic Party,27,71.05 %
Election District 03-13,LEE MURPHY,Republican Party,10,26.32 %
Election District 03-13,CODY MCNUTT,Libertarian Party,1,2.63 %
Election District 03-13,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 03-14,LISA BLUNT ROCHESTER,Democratic Party,90,68.18 %
Election District 03-14,LEE MURPHY,Republican Party,40,30.3 %
Election District 03-14,CODY MCNUTT,Libertarian Party,2,1.52 %
Election District 03-14,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 04-01,LISA BLUNT ROCHESTER,Democratic Party,484,47.59 %
Election District 04-01,LEE MURPHY,Republican Party,527,51.82 %
Election District 04-01,CODY MCNUTT,Libertarian Party,5,0.49 %
Election District 04-01,DAVID ROGERS,Non-Partisan Delaware,1,0.1 %
Election District 04-02,LISA BLUNT ROCHESTER,Democratic Party,604,50.71 %
Election District 04-02,LEE MURPHY,Republican Party,578,48.53 %
Election District 04-02,CODY MCNUTT,Libertarian Party,5,0.42 %
Election District 04-02,DAVID ROGERS,Non-Partisan Delaware,4,0.34 %
Election District 04-03,LISA BLUNT ROCHESTER,Democratic Party,467,46.89 %
Election District 04-03,LEE MURPHY,Republican Party,520,52.21 %
Election District 04-03,CODY MCNUTT,Libertarian Party,3,0.3 %
Election District 04-03,DAVID ROGERS,Non-Partisan Delaware,6,0.6 %
Election District 04-04,LISA BLUNT ROCHESTER,Democratic Party,960,45.52 %
Election District 04-04,LEE MURPHY,Republican Party,"1,132",53.67 %
Election District 04-04,CODY MCNUTT,Libertarian Party,6,0.28 %
Election District 04-04,DAVID ROGERS,Non-Partisan Delaware,11,0.52 %
Election District 04-05,LISA BLUNT ROCHESTER,Democratic Party,433,36.08 %
Election District 04-05,LEE MURPHY,Republican Party,755,62.92 %
Election District 04-05,CODY MCNUTT,Libertarian Party,2,0.17 %
Election District 04-05,DAVID ROGERS,Non-Partisan Delaware,10,0.83 %
Election District 04-06,LISA BLUNT ROCHESTER,Democratic Party,321,40.23 %
Election District 04-06,LEE MURPHY,Republican Party,468,58.65 %
Election District 04-06,CODY MCNUTT,Libertarian Party,4,0.5 %
Election District 04-06,DAVID ROGERS,Non-Partisan Delaware,5,0.63 %
Election District 04-07,LISA BLUNT ROCHESTER,Democratic Party,222,35.81 %
Election District 04-07,LEE MURPHY,Republican Party,393,63.39 %
Election District 04-07,CODY MCNUTT,Libertarian Party,4,0.65 %
Election District 04-07,DAVID ROGERS,Non-Partisan Delaware,1,0.16 %
Election District 04-08,LISA BLUNT ROCHESTER,Democratic Party,440,44.27 %
Election District 04-08,LEE MURPHY,Republican Party,552,55.53 %
Election District 04-08,CODY MCNUTT,Libertarian Party,1,0.1 %
Election District 04-08,DAVID ROGERS,Non-Partisan Delaware,1,0.1 %
Election District 04-09,LISA BLUNT ROCHESTER,Democratic Party,811,42.33 %
Election District 04-09,LEE MURPHY,Republican Party,"1,093",57.05 %
Election District 04-09,CODY MCNUTT,Libertarian Party,7,0.37 %
Election District 04-09,DAVID ROGERS,Non-Partisan Delaware,5,0.26 %
Election District 04-10,LISA BLUNT ROCHESTER,Democratic Party,187,42.6 %
Election District 04-10,LEE MURPHY,Republican Party,248,56.49 %
Election District 04-10,CODY MCNUTT,Libertarian Party,3,0.68 %
Election District 04-10,DAVID ROGERS,Non-Partisan Delaware,1,0.23 %
Election District 04-11,LISA BLUNT ROCHESTER,Democratic Party,166,43.23 %
Election District 04-11,LEE MURPHY,Republican Party,213,55.47 %
Election District 04-11,CODY MCNUTT,Libertarian Party,1,0.26 %
Election District 04-11,DAVID ROGERS,Non-Partisan Delaware,4,1.04 %
Election District 05-01,LISA BLUNT ROCHESTER,Democratic Party,623,77.01 %
Election District 05-01,LEE MURPHY,Republican Party,173,21.38 %
Election District 05-01,CODY MCNUTT,Libertarian Party,11,1.36 %
Election District 05-01,DAVID ROGERS,Non-Partisan Delaware,2,0.25 %
Election District 05-02,LISA BLUNT ROCHESTER,Democratic Party,221,65.77 %
Election District 05-02,LEE MURPHY,Republican Party,106,31.55 %
Election District 05-02,CODY MCNUTT,Libertarian Party,6,1.79 %
Election District 05-02,DAVID ROGERS,Non-Partisan Delaware,3,0.89 %
Election District 05-03,LISA BLUNT ROCHESTER,Democratic Party,309,80.89 %
Election District 05-03,LEE MURPHY,Republican Party,68,17.8 %
Election District 05-03,CODY MCNUTT,Libertarian Party,3,0.79 %
Election District 05-03,DAVID ROGERS,Non-Partisan Delaware,2,0.52 %
Election District 05-04,LISA BLUNT ROCHESTER,Democratic Party,371,86.28 %
Election District 05-04,LEE MURPHY,Republican Party,54,12.56 %
Election District 05-04,CODY MCNUTT,Libertarian Party,2,0.47 %
Election District 05-04,DAVID ROGERS,Non-Partisan Delaware,3,0.7 %
Election District 05-05,LISA BLUNT ROCHESTER,Democratic Party,455,88.35 %
Election District 05-05,LEE MURPHY,Republican Party,52,10.1 %
Election District 05-05,CODY MCNUTT,Libertarian Party,2,0.39 %
Election District 05-05,DAVID ROGERS,Non-Partisan Delaware,6,1.17 %
Election District 05-06,LISA BLUNT ROCHESTER,Democratic Party,477,82.24 %
Election District 05-06,LEE MURPHY,Republican Party,98,16.9 %
Election District 05-06,CODY MCNUTT,Libertarian Party,2,0.34 %
Election District 05-06,DAVID ROGERS,Non-Partisan Delaware,3,0.52 %
Election District 05-07,LISA BLUNT ROCHESTER,Democratic Party,346,80.47 %
Election District 05-07,LEE MURPHY,Republican Party,81,18.84 %
Election District 05-07,CODY MCNUTT,Libertarian Party,0,0 %
Election District 05-07,DAVID ROGERS,Non-Partisan Delaware,3,0.7 %
Election District 05-08,LISA BLUNT ROCHESTER,Democratic Party,711,71.39 %
Election District 05-08,LEE MURPHY,Republican Party,270,27.11 %
Election District 05-08,CODY MCNUTT,Libertarian Party,9,0.9 %
Election District 05-08,DAVID ROGERS,Non-Partisan Delaware,6,0.6 %
Election District 05-09,LISA BLUNT ROCHESTER,Democratic Party,294,83.76 %
Election District 05-09,LEE MURPHY,Republican Party,56,15.95 %
Election District 05-09,CODY MCNUTT,Libertarian Party,0,0 %
Election District 05-09,DAVID ROGERS,Non-Partisan Delaware,1,0.28 %
Election District 05-10,LISA BLUNT ROCHESTER,Democratic Party,382,87.61 %
Election District 05-10,LEE MURPHY,Republican Party,46,10.55 %
Election District 05-10,CODY MCNUTT,Libertarian Party,5,1.15 %
Election District 05-10,DAVID ROGERS,Non-Partisan Delaware,3,0.69 %
Election District 05-11,LISA BLUNT ROCHESTER,Democratic Party,57,71.25 %
Election District 05-11,LEE MURPHY,Republican Party,23,28.75 %
Election District 05-11,CODY MCNUTT,Libertarian Party,0,0 %
Election District 05-11,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 06-01,LISA BLUNT ROCHESTER,Democratic Party,427,64.4 %
Election District 06-01,LEE MURPHY,Republican Party,224,33.79 %
Election District 06-01,CODY MCNUTT,Libertarian Party,7,1.06 %
Election District 06-01,DAVID ROGERS,Non-Partisan Delaware,5,0.75 %
Election District 06-02,LISA BLUNT ROCHESTER,Democratic Party,556,61.57 %
Election District 06-02,LEE MURPHY,Republican Party,339,37.54 %
Election District 06-02,CODY MCNUTT,Libertarian Party,7,0.78 %
Election District 06-02,DAVID ROGERS,Non-Partisan Delaware,1,0.11 %
Election District 06-03,LISA BLUNT ROCHESTER,Democratic Party,137,61.71 %
Election District 06-03,LEE MURPHY,Republican Party,80,36.04 %
Election District 06-03,CODY MCNUTT,Libertarian Party,4,1.8 %
Election District 06-03,DAVID ROGERS,Non-Partisan Delaware,1,0.45 %
Election District 06-04,LISA BLUNT ROCHESTER,Democratic Party,443,72.98 %
Election District 06-04,LEE MURPHY,Republican Party,159,26.19 %
Election District 06-04,CODY MCNUTT,Libertarian Party,2,0.33 %
Election District 06-04,DAVID ROGERS,Non-Partisan Delaware,3,0.49 %
Election District 06-05,LISA BLUNT ROCHESTER,Democratic Party,381,78.23 %
Election District 06-05,LEE MURPHY,Republican Party,100,20.53 %
Election District 06-05,CODY MCNUTT,Libertarian Party,1,0.21 %
Election District 06-05,DAVID ROGERS,Non-Partisan Delaware,5,1.03 %
Election District 06-06,LISA BLUNT ROCHESTER,Democratic Party,623,73.21 %
Election District 06-06,LEE MURPHY,Republican Party,212,24.91 %
Election District 06-06,CODY MCNUTT,Libertarian Party,10,1.18 %
Election District 06-06,DAVID ROGERS,Non-Partisan Delaware,6,0.71 %
Election District 06-07,LISA BLUNT ROCHESTER,Democratic Party,470,62.75 %
Election District 06-07,LEE MURPHY,Republican Party,266,35.51 %
Election District 06-07,CODY MCNUTT,Libertarian Party,9,1.2 %
Election District 06-07,DAVID ROGERS,Non-Partisan Delaware,4,0.53 %
Election District 06-08,LISA BLUNT ROCHESTER,Democratic Party,335,65.82 %
Election District 06-08,LEE MURPHY,Republican Party,163,32.02 %
Election District 06-08,CODY MCNUTT,Libertarian Party,6,1.18 %
Election District 06-08,DAVID ROGERS,Non-Partisan Delaware,5,0.98 %
Election District 06-09,LISA BLUNT ROCHESTER,Democratic Party,692,71.27 %
Election District 06-09,LEE MURPHY,Republican Party,264,27.19 %
Election District 06-09,CODY MCNUTT,Libertarian Party,10,1.03 %
Election District 06-09,DAVID ROGERS,Non-Partisan Delaware,5,0.51 %
Election District 06-10,LISA BLUNT ROCHESTER,Democratic Party,591,64.17 %
Election District 06-10,LEE MURPHY,Republican Party,319,34.64 %
Election District 06-10,CODY MCNUTT,Libertarian Party,7,0.76 %
Election District 06-10,DAVID ROGERS,Non-Partisan Delaware,4,0.43 %
Election District 06-11,LISA BLUNT ROCHESTER,Democratic Party,505,65.58 %
Election District 06-11,LEE MURPHY,Republican Party,252,32.73 %
Election District 06-11,CODY MCNUTT,Libertarian Party,10,1.3 %
Election District 06-11,DAVID ROGERS,Non-Partisan Delaware,3,0.39 %
Election District 06-12,LISA BLUNT ROCHESTER,Democratic Party,612,61.08 %
Election District 06-12,LEE MURPHY,Republican Party,375,37.43 %
Election District 06-12,CODY MCNUTT,Libertarian Party,8,0.8 %
Election District 06-12,DAVID ROGERS,Non-Partisan Delaware,7,0.7 %
Election District 06-13,LISA BLUNT ROCHESTER,Democratic Party,416,72.22 %
Election District 06-13,LEE MURPHY,Republican Party,149,25.87 %
Election District 06-13,CODY MCNUTT,Libertarian Party,7,1.22 %
Election District 06-13,DAVID ROGERS,Non-Partisan Delaware,4,0.69 %
Election District 06-14,LISA BLUNT ROCHESTER,Democratic Party,56,72.73 %
Election District 06-14,LEE MURPHY,Republican Party,21,27.27 %
Election District 06-14,CODY MCNUTT,Libertarian Party,0,0 %
Election District 06-14,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 06-15,LISA BLUNT ROCHESTER,Democratic Party,62,66.67 %
Election District 06-15,LEE MURPHY,Republican Party,31,33.33 %
Election District 06-15,CODY MCNUTT,Libertarian Party,0,0 %
Election District 06-15,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 06-16,LISA BLUNT ROCHESTER,Democratic Party,0,0 %
Election District 06-16,LEE MURPHY,Republican Party,0,0 %
Election District 06-16,CODY MCNUTT,Libertarian Party,0,0 %
Election District 06-16,DAVID ROGERS,Non-Partisan Delaware,0,0 %
Election District 07-01,LISA BLUNT ROCHESTER,Democratic Party,331,58.58 %
Election District 07-01,LEE MURPHY,Republican Party,227,40.18 %
Election District 07-01,CODY MCNUTT,Libertarian Party,4,0.71 %
Election District 07-01,DAVID ROGERS,Non-Partisan Delaware,3,0.53 %
Election District 07-02,LISA BLUNT ROCHESTER,Democratic Party,399,71.89 %
Election District 07-02,LEE MURPHY,Republican Party,146,26.31 %
Election District 07-02,CODY MCNUTT,Libertarian Party,8,1.44 %
Election District 07-02,DAVID ROGERS,Non-Partisan Delaware,2,0.36 %
Election District 07-03,LISA BLUNT ROCHESTER,Democratic Party,297,63.33 %
Election District 07-03,LEE MURPHY,Republican Party,169,36.03 %
Election District 07-03,CODY MCNUTT,Libertarian Party,0,0 %
Election District 07-03,DAVID ROGERS,Non-Partisan Delaware,3,0.64 %
Election District 07-04,LISA BLUNT ROCHESTER,Democratic Party,405,76.42 %
Election District 07-04,LEE MURPHY,Republican Party,115,21.7 %
Election District 07-04,CODY MCNUTT,Libertarian Party,7,1.32 %
Election District 07-04,DAVID ROGERS,Non-Partisan Delaware,3,0.57 %
Election District 07-05,LISA BLUNT ROCHESTER,Democratic Party,689,77.07 %
Election District 07-05,LEE MURPHY,Republican Party,185,20.69 %
Election District 07-05,CODY MCNUTT,Libertarian Party,13,1.45 %
Election District 07-05,DAVID ROGERS,Non-Partisan Delaware,7,0.78 %
Election District 07-06,LISA BLUNT ROCHESTER,Democratic Party,398,63.07 %
Election District 07-06,LEE MURPHY,Republican Party,221,35.02 %
Election District 07-06,CODY MCNUTT,Libertarian Party,5,0.79 %
